Pathology,AUC,Positive Cases,Negative Cases,Total Cases
Atelectasis,0.660894548842988,47,274,321
Cardiomegaly,0.9268442622950821,16,305,321
Consolidation,0.6846506300114548,30,291,321
Edema,0.8277850102287521,38,283,321
Effusion,0.752518315018315,48,273,321
Emphysema,0.7034052903618121,22,299,321
Fibrosis,0.5765395894428152,11,310,321
Hernia,0.8990536277602523,4,317,321
Infiltration,0.6517183098591549,71,250,321
Mass,0.8439604377104377,33,288,321
Nodule,0.5641960898745257,23,298,321
Pleural_Thickening,0.7839805825242718,12,309,321
Pneumonia,0.6550755521115845,89,232,321
Pneumothorax,0.670875420875421,24,297,321
