Pathology,AUC,Accuracy,Precision,Recall,F1 Score,TP,FP,FN,TN,Total,Positive,Negative
Atelectasis,0.660894548842988,0.8504672897196262,0.45454545454545453,0.10638297872340426,0.17241379310344826,5,6,42,268,321,47,274
Cardiomegaly,0.9268442622950821,0.9501557632398754,0.5,0.25,0.3333333333333333,4,4,12,301,321,16,305
Consolidation,0.6846506300114548,0.8909657320872274,0.3333333333333333,0.16666666666666666,0.2222222222222222,5,10,25,281,321,30,291
Edema,0.8277850102287521,0.8785046728971962,0.0,0.0,0.0,0,1,38,282,321,38,283
Effusion,0.752518315018315,0.8286604361370716,0.42857142857142855,0.4375,0.43298969072164945,21,28,27,245,321,48,273
Emphysema,0.7034052903618121,0.9314641744548287,0.0,0.0,0.0,0,0,22,299,321,22,299
Fibrosis,0.5765395894428152,0.940809968847352,0.1,0.09090909090909091,0.09523809523809525,1,9,10,301,321,11,310
Hernia,0.8990536277602523,0.9906542056074766,1.0,0.25,0.4,1,0,3,317,321,4,317
Infiltration,0.6517183098591549,0.7632398753894081,0.4489795918367347,0.30985915492957744,0.36666666666666664,22,27,49,223,321,71,250
Mass,0.8439604377104377,0.8317757009345794,0.34328358208955223,0.696969696969697,0.45999999999999996,23,44,10,244,321,33,288
Nodule,0.5641960898745257,0.9127725856697819,0.2727272727272727,0.13043478260869565,0.1764705882352941,3,8,20,290,321,23,298
Pleural_Thickening,0.7839805825242718,0.9595015576323987,0.4,0.16666666666666666,0.23529411764705882,2,3,10,306,321,12,309
Pneumonia,0.6550755521115845,0.719626168224299,0.4782608695652174,0.12359550561797752,0.19642857142857142,11,12,78,220,321,89,232
Pneumothorax,0.670875420875421,0.9252336448598131,0.0,0.0,0.0,0,0,24,297,321,24,297
